height,pressure,temp,tdew
m,hPa,K,K
30.50,1034.20,286.74,280.31
45.40,1032.37,286.69,279.65
56.30,1031.03,286.56,279.36
66.40,1029.80,286.44,279.16
76.20,1028.60,286.35,279.20
86.60,1027.33,286.26,279.28
96.30,1026.14,286.17,279.15
104.60,1025.14,286.07,279.02
113.00,1024.11,285.97,278.99
121.60,1023.07,285.87,278.91
131.40,1021.87,285.77,278.91
142.10,1020.56,285.67,278.92
152.70,1019.28,285.56,278.95
163.40,1017.97,285.47,278.98
173.90,1016.70,285.37,278.96
183.40,1015.55,285.29,278.96
193.30,1014.35,285.18,278.85
204.00,1013.06,285.06,278.71
214.60,1011.77,284.94,278.66
224.20,1010.62,284.83,278.66
234.20,1009.41,284.73,278.63
244.20,1008.20,284.63,278.62
253.90,1007.03,284.54,278.66
263.70,1005.84,284.45,278.64
274.10,1004.59,284.35,278.64
284.60,1003.34,284.24,278.66
294.60,1002.14,284.14,278.68
304.70,1000.92,284.04,278.71
314.30,999.77,283.94,278.77
323.90,998.62,283.84,278.81
334.20,997.39,283.75,278.70
345.00,996.09,283.67,278.56
356.20,994.76,283.56,278.62
367.50,993.41,283.42,278.73
378.00,992.15,283.33,278.68
389.20,990.82,283.23,278.59
401.10,989.41,283.11,278.56
412.40,988.07,282.99,278.59
423.60,986.73,282.89,278.55
435.50,985.32,282.79,278.50
447.80,983.86,282.66,278.48
460.10,982.41,282.53,278.49
472.40,980.95,282.42,278.48
483.70,979.61,282.30,278.48
494.90,978.29,282.19,278.44
506.40,976.94,282.08,278.37
518.50,975.51,281.98,278.31
530.50,974.10,281.87,278.28
542.50,972.69,281.75,278.26
554.90,971.22,281.62,278.24
566.90,969.82,281.50,278.24
578.10,968.51,281.39,278.25
589.30,967.19,281.28,278.24
600.60,965.87,281.16,278.25
611.40,964.61,281.04,278.21
621.50,963.43,280.94,278.18
631.70,962.23,280.85,278.19
641.90,961.05,280.75,278.17
652.50,959.81,280.66,278.10
663.90,958.48,280.56,278.06
675.40,957.15,280.45,278.03
687.50,955.74,280.33,277.98
700.60,954.23,280.21,277.94
713.30,952.75,280.08,277.90
725.60,951.34,279.96,277.88
737.70,949.93,279.83,277.85
748.40,948.70,279.72,277.82
758.80,947.50,279.62,277.82
770.10,946.20,279.51,277.82
781.20,944.92,279.41,277.83
792.90,943.57,279.30,277.84
803.30,942.37,279.21,277.82
813.00,941.26,279.10,277.77
823.30,940.08,279.00,277.73
833.60,938.90,278.90,277.70
843.70,937.73,278.81,277.62
853.60,936.60,278.75,277.32
863.10,935.52,278.71,277.05
873.30,934.35,278.63,277.10
883.50,933.19,278.52,277.18
893.20,932.09,278.50,277.00
902.50,931.02,278.55,276.73
912.00,929.95,278.55,276.58
921.60,928.86,278.45,276.54
931.00,927.78,278.30,276.53
940.30,926.73,278.18,276.51
950.50,925.57,278.08,276.45
961.30,924.35,278.02,276.35
972.40,923.09,277.98,276.29
984.60,921.71,277.92,276.22
995.80,920.45,277.83,276.14
1005.80,919.32,277.71,276.12
1015.40,918.24,277.60,276.14
1025.00,917.16,277.51,276.13
1034.60,916.08,277.41,276.14
1043.60,915.07,277.31,276.14
1052.00,914.12,277.21,276.18
1060.60,913.16,277.09,276.23
1069.30,912.19,277.00,276.22
1077.30,911.28,276.91,276.24
1085.50,910.36,276.84,276.24
1094.80,909.33,276.77,276.26
1103.30,908.37,276.68,276.30
1112.10,907.39,276.60,276.23
1120.60,906.44,276.53,276.20
1129.50,905.45,276.47,276.22
1138.70,904.43,276.41,276.21
1147.60,903.43,276.34,276.17
1156.50,902.44,276.28,276.13
1166.30,901.36,276.22,276.08
1175.40,900.35,276.16,276.00
1184.70,899.31,276.09,275.93
1194.70,898.20,276.02,275.87
1204.20,897.15,275.94,275.80
1213.40,896.13,275.89,275.77
1222.40,895.14,275.84,275.74
1231.10,894.18,275.79,275.68
1239.80,893.21,275.73,275.62
1248.90,892.22,275.67,275.55
1258.40,891.17,275.60,275.50
1268.50,890.05,275.51,275.41
1278.20,888.99,275.43,275.33
1288.40,887.87,275.41,275.35
